,Actual Value,Predicted Value,Difference
0,9.06624,10.377561589402909,-1.3113215894029082
1,8.57085,9.684242779245956,-1.113392779245956
2,7.94773,8.929230534068733,-0.9815005340687328
3,9.51165,10.812000707894768,-1.3003507078947685
4,8.22355,7.161239332295693,1.0623106677043062
5,3.34255,4.733309199926104,-1.3907591999261042
6,10.94093,7.6575474175917115,3.2833825824082883
7,1.7459,3.124331890004605,-1.3784318900046049
8,11.60638,9.657596390217321,1.9487836097826783
9,2.81532,2.755936182852892,0.05938381714710772
10,5.21209,7.296846551093886,-2.0847565510938857
11,11.12725,7.852807017315683,3.2744429826843167
12,0.81548,0.8454654825055954,-0.029985482505595407
13,6.92625,7.017218279168027,-0.09096827916802752
14,11.24456,7.410366463217045,3.834193536782955
15,1.08336,1.0572370170338097,0.026122982966190422
16,4.87793,5.040048631981048,-0.16211863198104748
17,9.8924,10.049159684039296,-0.15675968403929552
18,14.72248,9.070549700540766,5.651930299459233
19,0.15912,1.9173938452532084,-1.7582738452532085
20,2.9548,4.374496213705481,-1.4196962137054805
21,2.12823,3.376055422495199,-1.247825422495199
22,0.29156,0.39231782478072574,-0.10075782478072576
23,9.38082,10.70865887102405,-1.3278388710240492
24,2.47638,2.3489669775308677,0.1274130224691321
25,8.85456,10.102214052758015,-1.2476540527580156
26,8.90568,5.835350241223136,3.0703297587768645
27,3.5968,4.909812432159871,-1.313012432159871
28,3.33675,4.635574616140335,-1.2988246161403354
29,14.6328,8.979330250846203,5.653469749153796
30,5.81412,6.5627539543530276,-0.7486339543530276
31,5.31625,7.4230533260164115,-2.1068033260164114
32,0.30719,2.048328397958084,-1.741138397958084
33,6.71174,4.483978720931514,2.2277612790684858
34,2.03541,3.315918459760212,-1.2805084597602119
35,9.9696,6.427145873236579,3.5424541267634204
36,5.67895,7.758114736140641,-2.0791647361406405
37,8.76079,5.689133957435551,3.071656042564449
38,5.21411,5.388637479552301,-0.1745274795523013
39,1.53153,2.978482017613562,-1.4469520176135617
40,1.77684,3.1450973342443582,-1.3682573342443582
41,8.59993,5.6010664328210495,2.998863567178951
42,8.01314,9.007297708393903,-0.994157708393903
43,7.81342,7.909863130714413,-0.09644313071441335
44,7.60837,7.6986021940578375,-0.09023219405783767
45,12.18948,10.20209496833494,1.9873850316650596
46,9.766,6.492171675536579,3.2738283244634214
47,4.92568,6.575171046889228,-1.6494910468892279
48,9.36168,6.187457211981286,3.1742227880187137
49,6.09094,7.840199737409279,-1.7492597374092789
50,10.71625,7.402243921413344,3.3140060785866563
51,4.65791,5.710972056479143,-1.0530620564791429
52,12.2522,10.20711388693465,2.0450861130653504
53,2.88084,2.81943134982334,0.061408650176660196
54,1.46076,1.3436627338960605,0.11709726610393956
55,4.50838,4.100965381080442,0.40741461891955755
56,11.69437,8.560487531957438,3.133882468042561
57,4.06055,5.221540551735391,-1.1609905517353907
58,6.75165,6.855472817379173,-0.10382281737917332
59,10.98203,7.701959672015381,3.2800703279846193
60,15.01888,9.342663048904686,5.676216951095313
61,2.3325,3.601912232579455,-1.2694122325794548
62,12.08854,10.167398433333695,1.9211415666663054
63,11.88764,10.01486083705376,1.8727791629462391
64,2.18348,3.411549874368067,-1.228069874368067
65,10.47924,7.111888890356873,3.3673511096431277
66,9.35142,10.682398519645375,-1.3309785196453756
67,4.62105,5.345048339761391,-0.7239983397613905
68,2.63042,3.996261172635844,-1.365841172635844
69,10.20788,10.357686743182036,-0.14980674318203668
70,5.71336,7.779540613158179,-2.0661806131581795
71,4.47836,3.7147012843661997,0.7636587156338006
72,4.88842,6.465070529230676,-1.576650529230676
73,2.42668,2.2986459246963804,0.12803407530361977
74,4.52225,4.26887178039933,0.25337821960066975
75,9.38014,9.414985331344184,-0.034845331344182995
76,1.59858,1.4890685463922573,0.10951145360774261
77,8.03002,9.027359207708653,-0.9973392077086523
78,4.57925,4.909715861193046,-0.330465861193046
79,3.38097,4.762013507457006,-1.3810435074570058
80,4.50116,4.011130639212801,0.49002936078719816
81,5.87663,6.610858668373659,-0.7342286683736594
82,5.04232,6.899157459020099,-1.856837459020099
83,9.99289,6.459959995548282,3.5329300044517176
84,10.92784,9.01872598270386,1.9091140172961403
85,11.43586,9.380717110414341,2.0551428895856585
86,0.37,0.465257484737041,-0.09525748473704099
87,9.71816,9.835699704266958,-0.11753970426695837
88,4.70158,5.871532322954636,-1.1699523229546358
89,11.38801,8.226503334918878,3.161506665081122
90,9.17649,10.505458399989926,-1.328968399989927
91,7.5068,6.44745303961059,1.0593469603894103
92,11.81029,8.590427733842674,3.2198622661573264
93,5.85286,7.8426171258292,-1.9897571258292004
94,10.0178,10.185154499069398,-0.1673544990693987
95,5.5534,7.663054840958171,-2.1096548409581715
96,3.12619,4.455119208719442,-1.3289292087194418
97,2.0141,1.92005575801425,0.0940442419857499
98,10.08318,8.480660571882858,1.6025194281171427
99,7.52151,8.410601350751701,-0.8890913507517011
100,7.13994,7.214733181725357,-0.0747931817253571
101,4.60338,5.163834152731383,-0.5604541527313831
102,11.36524,8.190645734097778,3.174594265902222
103,10.12604,10.288791069098536,-0.16275106909853676
104,8.1452,8.247534056975663,-0.10233405697566234
105,2.75194,4.144552750835754,-1.3926127508357538
106,10.20878,8.563856656956872,1.6449233430431285
107,12.1836,10.20094820892318,1.9826517910768207
108,11.3887,8.227570186836935,3.1611298131630647
109,10.45208,10.506811160265748,-0.05473116026574765
110,11.47702,8.353934186901313,3.1230858130986867
111,12.426,8.00031313191958,4.425686868080421
112,3.65217,4.943621118732395,-1.291451118732395
