,Actual Value,Predicted Value,Difference
0,9.06624,12.844576372634457,-3.778336372634456
1,8.57085,11.461289278403683,-2.890439278403683
2,7.94773,10.224230215247061,-2.2765002152470615
3,9.51165,14.119456849034023,-4.607806849034024
4,8.22355,6.639864353190617,1.583685646809382
5,3.34255,4.230692453106364,-0.8881424531063642
6,10.94093,6.962083406945325,3.9788465930546746
7,1.7459,3.9517597370152022,-2.205859737015202
8,11.60638,10.029795989860915,1.5765840101390847
9,2.81532,1.9016125991083546,0.9137074008916453
10,5.21209,6.587702634396685,-1.3756126343966848
11,11.12725,7.184298792583974,3.9429512074160264
12,0.81548,3.2017891892295336,-2.3863091892295336
13,6.92625,6.702426185510923,0.2238238144890765
14,11.24456,6.77362491470441,4.47093508529559
15,1.08336,3.1966269128993248,-2.1132669128993244
16,4.87793,4.7320729662623915,0.1458570337376086
17,9.8924,11.061724332434956,-1.1693243324349556
18,14.72248,8.885999133325718,5.836480866674281
19,0.15912,3.5456746758771875,-3.3865546758771874
20,2.9548,4.251373312983681,-1.2965733129836807
21,2.12823,4.0332253843083485,-1.9049953843083487
22,0.29156,3.1738301469780397,-2.8822701469780396
23,9.38082,13.742530455600956,-4.3617104556009565
24,2.47638,2.5755448445963585,-0.09916484459635866
25,8.85456,12.248319311331642,-3.3937593113316424
26,8.90568,5.240991135016671,3.6646888649833294
27,3.5968,4.169562840543811,-0.5727628405438114
28,3.33675,4.761868198933239,-1.4251181989332395
29,14.6328,8.742975440758094,5.889824559241905
30,5.81412,6.939045769364403,-1.1249257693644035
31,5.31625,6.717883675383909,-1.4016336753839092
32,0.30719,3.58613733205616,-3.27894733205616
33,6.71174,4.340904031359335,2.370835968640665
34,2.03541,4.014300744341671,-1.9788907443416712
35,9.9696,5.774921845468789,4.194678154531211
36,5.67895,7.129684533415855,-1.4507345334158543
37,8.76079,5.169003754537419,3.591786245462581
38,5.21411,5.022988205906691,0.1911217940933092
39,1.53153,3.902364642462411,-2.370834642462411
40,1.77684,3.958682528982376,-2.181842528982376
41,8.59993,5.101139327937755,3.4987906720622455
42,8.01314,10.344957589942979,-2.331817589942979
43,7.81342,7.777460717875098,0.03595928212490218
44,7.60837,7.514320565034453,0.09404943496554719
45,12.18948,11.715385909094124,0.47409409090587573
46,9.766,5.837850999095085,3.9281490009049147
47,4.92568,5.931600041696893,-1.0059200416968928
48,9.36168,5.552710960894929,3.8089690391050706
49,6.09094,7.499166254742349,-1.408226254742349
50,10.71625,6.690219573057782,4.026030426942219
51,4.65791,5.252882599860186,-0.5949725998601858
52,12.2522,11.894273003042727,0.35792699695727315
53,2.88084,1.735744649701275,1.1450953502987251
54,1.46076,3.1619653439736806,-1.7012053439736805
55,4.50838,4.207380668086891,0.30099933191310857
56,11.69437,8.314260629617635,3.380109370382364
57,4.06055,5.339061449981072,-1.278511449981072
58,6.75165,6.517651635281773,0.23399836471822688
59,10.98203,7.011388925490365,3.9706410745096345
60,15.01888,9.35755062717098,5.6613293728290195
61,2.3325,4.100459593334094,-1.7679595933340937
62,12.08854,11.426016053081042,0.6625239469189577
63,11.88764,10.846027272461384,1.041612727538615
64,2.18348,4.044211260049945,-1.860731260049945
65,10.47924,6.400402157374369,4.0788378426256315
66,9.35142,13.658084761848968,-4.306664761848969
67,4.62105,4.988689877745033,-0.3676398777450327
68,2.63042,4.197796474187676,-1.5673764741876761
69,10.20788,11.848535096484724,-1.6406550964847249
70,5.71336,7.164913729054497,-1.4515537290544973
71,4.47836,4.012326449804206,0.4660335501957942
72,4.88842,5.840112796588571,-0.9516927965885706
73,2.42668,2.633026315993718,-0.20634631599371778
74,4.52225,4.299869113354836,0.22238088664516376
75,9.38014,9.893495231173162,-0.5133552311731613
76,1.59858,3.12920216350339,-1.5306221635033903
77,8.03002,10.376196216571394,-2.3461762165713935
78,4.57925,4.69225990551085,-0.11300990551085022
79,3.38097,4.223951424034283,-0.8429814240342828
80,4.50116,4.159799334496837,0.3413606655031627
81,5.87663,7.000883707729415,-1.124253707729415
82,5.04232,6.212126392868811,-1.1698063928688107
83,9.99289,5.803390604696151,4.189499395303848
84,10.92784,8.968196659524772,1.9596433404752283
85,11.43586,9.535596129220778,1.9002638707792219
86,0.37,3.1807796674179243,-2.810779667417924
87,9.71816,10.629638676845715,-0.9114786768457162
88,4.70158,5.372870249487605,-0.6712902494876047
89,11.38801,7.665773578905757,3.7222364210942427
90,9.17649,13.15779866715409,-3.9813086671540905
91,7.5068,5.886850118962434,1.6199498810375665
92,11.81029,8.537280474259049,3.2730095257409513
93,5.85286,7.299988455595582,-1.447128455595582
94,10.0178,11.373961642741435,-1.3561616427414354
95,5.5534,6.995162868869606,-1.4417628688696063
96,3.12619,4.603941026420989,-1.477751026420989
97,2.0141,2.9484422703405433,-0.9343422703405433
98,10.08318,8.219369417871018,1.8638105821289823
99,7.52151,9.450754231782629,-1.9292442317826284
100,7.13994,6.932224151714237,0.20771584828576284
101,4.60338,4.862774921360046,-0.2593949213600464
102,11.36524,7.61473649461977,3.7505035053802303
103,10.12604,11.644066402768786,-1.5180264027687862
104,8.1452,8.2110200920683,-0.06582009206829831
105,2.75194,4.224898786961898,-1.472958786961898
106,10.20878,8.32973000634572,1.8790499936542808
107,12.1836,11.698576925149624,0.48502307485037655
108,11.3887,7.667314891440363,3.7213851085596374
109,10.45208,12.459023610316649,-2.0069436103166485
110,11.47702,7.861891831422611,3.615128168577389
111,12.426,7.441171605541523,4.984828394458477
112,3.65217,4.150903915977025,-0.49873391597702543
113,14.1108,8.415693275128156,5.695106724871843
